SID,NAME,ISO_TIME,LAT,LON,WMO_WIND,WMO_PRES,BASIN,SEASON,NUMBER,dist_to_miami_km,sst,salinity,ocean_time,ocean_lat,ocean_lon
1981183N24281,UNNAMED,1981-07-02 06:00:00,24.0,-79.0,20, ,,1981,43,229.8370878049577,,,,,
1981183N24281,UNNAMED,1981-07-02 09:00:00,24.4,-79.6, , ,,1981,43,162.72113275761367,,,,,
1981183N24281,UNNAMED,1981-07-02 12:00:00,25.0,-80.0,25, ,,1981,43,86.86128873894148,,,,,
1981183N24281,UNNAMED,1981-07-02 15:00:00,25.9,-80.2, , ,,1981,43,15.400141897022278,,,,,
1981183N24281,UNNAMED,1981-07-02 18:00:00,26.8,-80.3,25, ,,1981,43,115.95655816767268,,,,,
1981183N24281,UNNAMED,1981-07-02 21:00:00,27.4,-80.4, , ,,1981,43,183.34323726434295,,,,,
1981183N24281,UNNAMED,1981-07-03 00:00:00,28.0,-80.5,25, ,,1981,43,250.7572336656916,,,,,
1981183N24281,UNNAMED,1981-07-03 03:00:00,28.6,-80.7, , ,,1981,43,319.5813996051289,,,,,
1981183N24281,UNNAMED,1981-07-03 06:00:00,29.2,-80.8,30, ,,1981,43,386.9980901922669,,,,,
1981183N24281,UNNAMED,1981-07-03 09:00:00,30.1,-81.0, , ,,1981,43,488.8818884162219,,,,,
1981183N24281,UNNAMED,1981-07-03 12:00:00,31.0,-81.0,30, ,,1981,43,587.8072521017518,,,,,
1981183N24281,UNNAMED,1981-07-03 15:00:00,31.8,-80.8, , ,,1981,43,674.035048031373,,,,,
1981183N24281,UNNAMED,1981-07-03 18:00:00,32.5,-80.5,25, ,,1981,43,749.8612106065766,,,,,
1981183N24281,UNNAMED,1981-07-03 21:00:00,33.2,-80.2, , ,,1981,43,827.1016026726611,,,,,
1981183N24281,UNNAMED,1981-07-04 00:00:00,34.0,-80.0, , ,,1981,43,916.2431494756062,,,,,
1981219N11334,DENNIS,1981-08-07 06:00:00,10.5,-25.7,30,1009,,1981,59,5959.111609874693,,,,,
1981219N11334,DENNIS,1981-08-07 09:00:00,10.7,-27.0, , ,,1981,59,5820.5121333340885,,,,,
1981219N11334,DENNIS,1981-08-07 12:00:00,10.8,-28.1,30,1008,,1981,59,5706.499674998208,,,,,
1981219N11334,DENNIS,1981-08-07 15:00:00,10.9,-28.9, , ,,1981,59,5622.380282924105,,,,,
1981219N11334,DENNIS,1981-08-07 18:00:00,11.0,-29.6,30,1007,,1981,59,5548.236140942696,,,,,
1981219N11334,DENNIS,1981-08-07 21:00:00,11.1,-30.4, , ,,1981,59,5464.203361019126,,,,,
1981219N11334,DENNIS,1981-08-08 00:00:00,11.3,-31.3,35,1006,,1981,59,5365.675992079336,,,,,
1981219N11334,DENNIS,1981-08-08 03:00:00,11.5,-32.2, , ,,1981,59,5267.206838820833,,,,,
1981219N11334,DENNIS,1981-08-08 06:00:00,11.7,-33.1,35,1005,,1981,59,5168.797627662401,,,,,
1981219N11334,DENNIS,1981-08-08 09:00:00,11.8,-34.1, , ,,1981,59,5065.182544778248,,,,,
