SID,NAME,ISO_TIME,LAT,LON,WMO_WIND,WMO_PRES,BASIN,SEASON,NUMBER,dist_to_pr_km,impact_next30,distance_km_poly
1996248N15319,HORTENSE,1996-09-03 12:00:00,14.9,-41.0,25,1006,,1996,75,2750.000319100978,0,2645.8110725995293
1996248N15319,HORTENSE,1996-09-03 15:00:00,14.9,-41.9, , ,,1996,75,2655.184315924901,0,2546.56468370081
1996248N15319,HORTENSE,1996-09-03 18:00:00,14.9,-42.7,30,1006,,1996,75,2570.94765922769,0,2458.4097678702396
1996248N15319,HORTENSE,1996-09-03 21:00:00,14.9,-43.4, , ,,1996,75,2497.2794417558616,0,2381.322712615294
1996248N15319,HORTENSE,1996-09-04 00:00:00,14.8,-44.1,30,1006,,1996,75,2425.9662071151533,0,2306.052158888872
1996248N15319,HORTENSE,1996-09-04 03:00:00,14.7,-44.8, , ,,1996,75,2354.815234622743,0,2231.022354871361
1996248N15319,HORTENSE,1996-09-04 06:00:00,14.7,-45.4,30,1006,,1996,75,2291.8513416036185,0,2165.2002131447944
1996248N15319,HORTENSE,1996-09-04 09:00:00,14.6,-46.0, , ,,1996,75,2231.4512705457287,0,2101.514752656802
1996248N15319,HORTENSE,1996-09-04 12:00:00,14.6,-46.6,30,1006,,1996,75,2168.6267808347184,0,2035.888010796413
1996248N15319,HORTENSE,1996-09-04 15:00:00,14.6,-47.1, , ,,1996,75,2116.318772323976,0,1981.2585366873914
1996248N15319,HORTENSE,1996-09-04 18:00:00,14.7,-47.5,30,1006,,1996,75,2071.8790632996324,0,1935.3459691584453
1996248N15319,HORTENSE,1996-09-04 21:00:00,14.8,-47.9, , ,,1996,75,2027.4601186596637,0,1889.4361769689506
1996248N15319,HORTENSE,1996-09-05 00:00:00,14.9,-48.4,30,1006,,1996,75,1972.6043065886718,0,1832.6013076359125
1996248N15319,HORTENSE,1996-09-05 03:00:00,14.9,-48.9, , ,,1996,75,1920.343146197526,0,1777.9984819160559
1996248N15319,HORTENSE,1996-09-05 06:00:00,14.8,-49.5,30,1006,,1996,75,1860.3865397727955,0,1714.9563108470531
1996248N15319,HORTENSE,1996-09-05 09:00:00,14.7,-50.3, , ,,1996,75,1779.9086303516233,0,1630.6068609825547
1996248N15319,HORTENSE,1996-09-05 12:00:00,14.5,-51.1,30,1006,,1996,75,1702.9330755636213,0,1549.7129711502862
1996248N15319,HORTENSE,1996-09-05 15:00:00,14.4,-51.9, , ,,1996,75,1623.5906643814137,0,1466.8325041689654
1996248N15319,HORTENSE,1996-09-05 18:00:00,14.3,-52.6,30,1006,,1996,75,1555.1055480809912,0,1395.4387967667487
1996248N15319,HORTENSE,1996-09-05 21:00:00,14.3,-53.2, , ,,1996,75,1493.783372984222,0,1331.8073351230844
1996248N15319,HORTENSE,1996-09-06 00:00:00,14.4,-53.6,30,1006,,1996,75,1449.4076716621394,0,1285.91788119779
1996248N15319,HORTENSE,1996-09-06 03:00:00,14.5,-54.0, , ,,1996,75,1405.052058791504,0,1240.0339896367302
1996248N15319,HORTENSE,1996-09-06 06:00:00,14.6,-54.3,30,1006,,1996,75,1370.9026436757292,0,1204.7153269477653
1996248N15319,HORTENSE,1996-09-06 09:00:00,14.7,-54.7, , ,,1996,75,1326.5813227831554,0,1158.8352307031992
1996248N15319,HORTENSE,1996-09-06 12:00:00,14.7,-55.1,30,1006,,1996,75,1285.912834423261,0,1116.706720650013
1996248N15319,HORTENSE,1996-09-06 15:00:00,14.8,-55.4, , ,,1996,75,1251.7913345839324,0,1081.382939801747
1996248N15319,HORTENSE,1996-09-06 18:00:00,14.9,-55.7,30,1006,,1996,75,1217.6837287552692,0,1046.0574281003185
1996248N15319,HORTENSE,1996-09-06 21:00:00,15.1,-56.3, , ,,1996,75,1149.5108276817814,0,975.4011593512103
1996248N15319,HORTENSE,1996-09-07 00:00:00,15.2,-57.0,30,1006,,1996,75,1074.9183546642503,0,898.1323566179149
1996248N15319,HORTENSE,1996-09-07 03:00:00,15.3,-57.7, , ,,1996,75,1000.5110256338097,0,821.0927030631086
1996248N15319,HORTENSE,1996-09-07 06:00:00,15.4,-58.3,35,1005,,1996,75,936.3447370162959,0,754.7215752276222
1996248N15319,HORTENSE,1996-09-07 09:00:00,15.5,-59.0, , ,,1996,75,862.3658251220307,0,678.4071717980642
1996248N15319,HORTENSE,1996-09-07 12:00:00,15.6,-59.6,40,1004,,1996,75,798.6034385502599,0,612.7859766428058
1996248N15319,HORTENSE,1996-09-07 15:00:00,15.7,-60.0, , ,,1996,75,754.7857771384753,0,567.5881507315331
1996248N15319,HORTENSE,1996-09-07 18:00:00,15.8,-60.4,40,1000,,1996,75,711.0279586541565,0,522.4842369628163
1996248N15319,HORTENSE,1996-09-07 21:00:00,16.0,-60.8, , ,,1996,75,662.9681923289455,0,472.30781158735414
1996248N15319,HORTENSE,1996-09-08 00:00:00,16.1,-61.2,50,996,,1996,75,619.2688916395084,0,427.358480670785
1996248N15319,HORTENSE,1996-09-08 03:00:00,16.1,-61.6, , ,,1996,75,580.2050753453797,0,388.4257800309189
1996248N15319,HORTENSE,1996-09-08 06:00:00,16.1,-62.0,55,996,,1996,75,541.6570122143436,0,350.5738342204738
1996248N15319,HORTENSE,1996-09-08 09:00:00,16.1,-62.4, , ,,1996,75,503.74330031029336,0,314.3178397427108
1996248N15319,HORTENSE,1996-09-08 12:00:00,16.1,-62.8,60,996,,1996,75,466.6187730410112,0,280.0763223602266
1996248N15319,HORTENSE,1996-09-08 15:00:00,16.1,-63.2, , ,,1996,75,430.4878307196506,0,248.53135324866375
1996248N15319,HORTENSE,1996-09-08 18:00:00,16.1,-63.6,60,991,,1996,75,395.6229639342998,0,220.6190125573686
1996248N15319,HORTENSE,1996-09-08 21:00:00,16.1,-63.9, , ,,1996,75,370.5208261047274,0,202.85360652749947
1996248N15319,HORTENSE,1996-09-09 00:00:00,16.1,-64.1,60,990,,1996,75,354.39098482835755,0,192.88183265790923
1996248N15319,HORTENSE,1996-09-09 03:00:00,16.1,-64.3, , ,,1996,75,338.82604301411783,0,184.60084293046654
1996248N15319,HORTENSE,1996-09-09 06:00:00,16.1,-64.5,70,987,,1996,75,323.90746507161305,0,178.17691311665845
1996248N15319,HORTENSE,1996-09-09 09:00:00,16.2,-64.7, , ,,1996,75,301.3135087874293,0,162.3259188241616
1996248N15319,HORTENSE,1996-09-09 12:00:00,16.3,-65.0,70,985,,1996,75,272.257271557833,0,148.04156219338066
1996248N15319,HORTENSE,1996-09-09 15:00:00,16.4,-65.3, , ,,1996,75,244.43028272545317,0,139.4176500731966
1996248N15319,HORTENSE,1996-09-09 18:00:00,16.6,-65.6,70,990,,1996,75,208.60377073219612,0,114.15075663927757
1996248N15319,HORTENSE,1996-09-09 21:00:00,16.8,-65.8, , ,,1996,75,178.82616707552404,0,87.19236945805298
1996248N15319,HORTENSE,1996-09-10 00:00:00,17.1,-66.1,70,989,,1996,75,135.01255596889985,0,45.91872702026921
1996248N15319,HORTENSE,1996-09-10 03:00:00,17.6,-66.5, , ,,1996,75,69.68496542180877,1,0.0
1996248N15319,HORTENSE,1996-09-10 06:00:00,18.0,-66.9,70,989,,1996,75,40.93281684217856,1,0.0
1996248N15319,HORTENSE,1996-09-10 09:00:00,18.2,-67.4, , ,,1996,75,85.57749819984744,1,0.0
1996248N15319,HORTENSE,1996-09-10 12:00:00,18.3,-67.8,65,989,,1996,75,128.06279740382857,1,0.0
1996248N15319,HORTENSE,1996-09-10 15:00:00,18.6,-68.1, , ,,1996,75,164.78528253262905,0,4.081150982022381
1996248N15319,HORTENSE,1996-09-10 18:00:00,18.9,-68.4,65,990,,1996,75,205.18672858937651,0,50.152077804985154
1996248N15319,HORTENSE,1996-09-10 21:00:00,19.2,-68.7, , ,,1996,75,247.44913067917105,0,97.8175353886582
1996248N15319,HORTENSE,1996-09-11 00:00:00,19.5,-68.9,70,982,,1996,75,281.6127554364935,0,139.6082200873979
1996248N15319,HORTENSE,1996-09-11 03:00:00,19.8,-69.2, , ,,1996,75,325.74731932512447,0,187.8263957366298
1996248N15319,HORTENSE,1996-09-11 06:00:00,20.1,-69.5,75,975,,1996,75,370.2249268105296,0,236.28810663432546
1996248N15319,HORTENSE,1996-09-11 09:00:00,20.5,-69.8, , ,,1996,75,421.42667105459515,0,294.2986676339981
1996248N15319,HORTENSE,1996-09-11 12:00:00,20.9,-70.1,90,971,,1996,75,473.2448934777001,0,352.41262455151247
1996248N15319,HORTENSE,1996-09-11 15:00:00,21.3,-70.4, , ,,1996,75,525.4807578299759,0,410.63797121609736
1996248N15319,HORTENSE,1996-09-11 18:00:00,21.6,-70.6,95,970,,1996,75,562.9043300185795,0,452.733549891643
1996248N15319,HORTENSE,1996-09-11 21:00:00,22.0,-70.9, , ,,1996,75,615.6263584896711,0,511.1605074875495
1996248N15319,HORTENSE,1996-09-12 00:00:00,22.3,-71.1,100,967,,1996,75,653.3904466698797,0,553.4275910453057
1996248N15319,HORTENSE,1996-09-12 03:00:00,22.6,-71.3, , ,,1996,75,691.2698444231129,0,595.7734505664021
1996248N15319,HORTENSE,1996-09-12 06:00:00,23.0,-71.4,105,962,,1996,75,729.9245730147483,0,641.882510578607
1996248N15319,HORTENSE,1996-09-12 09:00:00,23.4,-71.6, , ,,1996,75,776.232862100865,0,694.5924833416598
1996248N15319,HORTENSE,1996-09-12 12:00:00,23.9,-71.8,115,959,,1996,75,831.0747940011598,0,757.817128054239
1996248N15319,HORTENSE,1996-09-12 15:00:00,24.3,-71.9, , ,,1996,75,871.3652044208518,0,805.2707174304273
1996248N15319,HORTENSE,1996-09-12 18:00:00,24.7,-71.8,115,946,,1996,75,899.5873803002867,0,842.129516452624
1996248N15319,HORTENSE,1996-09-12 21:00:00,25.3,-71.7, , ,,1996,75,947.3981897405642,0,902.5140718047816
1996248N15319,HORTENSE,1996-09-13 00:00:00,25.9,-71.5,120,935,,1996,75,992.2457800254913,0,958.0493046603818
1996248N15319,HORTENSE,1996-09-13 03:00:00,26.5,-71.5, , ,,1996,75,1049.6431706688932,0,1025.2234223311373
1996248N15319,HORTENSE,1996-09-13 06:00:00,27.2,-71.4,115,942,,1996,75,1113.3358704783848,0,1100.9690223714779
1996248N15319,HORTENSE,1996-09-13 09:00:00,28.0,-71.2, , ,,1996,75,1184.8439945543219,0,1186.9595993575456
1996248N15319,HORTENSE,1996-09-13 12:00:00,29.0,-70.9,100,948,,1996,75,1276.143004735208,0,1295.3968981973135
1996248N15319,HORTENSE,1996-09-13 15:00:00,30.0,-70.6, , ,,1996,75,1371.2148110399837,0,1408.2746162630212
1996248N15319,HORTENSE,1996-09-13 18:00:00,31.0,-70.3,100,948,,1996,75,1469.3165880670724,0,1525.4064621317912
1996248N15319,HORTENSE,1996-09-13 21:00:00,32.1,-69.9, , ,,1996,75,1578.5520658998155,0,1657.1107627353172
1996248N15319,HORTENSE,1996-09-14 00:00:00,33.3,-69.5,90,948,,1996,75,1701.6187562866764,0,1806.5742642857417
1996248N15319,HORTENSE,1996-09-14 03:00:00,34.6,-69.0, , ,,1996,75,1836.842112765061,0,1972.7779827265192
1996248N15319,HORTENSE,1996-09-14 06:00:00,35.9,-68.4,90,955,,1996,75,1973.8742140176903,0,2143.7015790880696
1996248N15319,HORTENSE,1996-09-14 09:00:00,37.1,-67.8, , ,,1996,75,2102.594378249821,0,2306.368808603783
1996248N15319,HORTENSE,1996-09-14 12:00:00,38.5,-67.1,85,960,,1996,75,2255.485197749683,0,2502.2704571283693
1996248N15319,HORTENSE,1996-09-14 15:00:00,40.3,-66.2, , ,,1996,75,2455.379598230367,0,2763.2915635594973
