LAT,LON,dist_to_miami_km,WMO_WIND,WMO_PRES,sst_current,sst_anom,sst_climo,merra_slp,merra_t2m,merra_rh2m,merra_u10,merra_v10,nino34,amo,year,month,day,dayofyear,is_hurricane_season,min_dist_7d,count_within_radius_7d,min_dist_30d,count_within_radius_30d,min_dist_365d,count_within_radius_365d,date,impact_next30,region
24.0,-79.0,229.8370878049577,20, ,29.483333587646484,0.1216392517089843,29.28543472290039,,,,,,26.65,-0.102,1981,7,2,183,1,229.8370878049577,0.0,229.8370878049577,0.0,229.8370878049577,0.0,1981-07-02 06:00:00,0,miami
24.4,-79.6,162.72113275761367, , ,29.27400016784668,-0.025482177734375,29.161012649536133,,,,,,26.65,-0.102,1981,7,2,183,1,162.72113275761367,1.0,162.72113275761367,1.0,162.72113275761367,1.0,1981-07-02 09:00:00,1,miami
25.0,-80.0,86.86128873894148,25, ,29.264331817626953,0.0418357849121093,29.161012649536133,,,,,,26.65,-0.102,1981,7,2,183,1,86.86128873894148,2.0,86.86128873894148,2.0,86.86128873894148,2.0,1981-07-02 12:00:00,1,miami
25.9,-80.2,15.400141897022278, , ,29.20699882507324,,29.201753616333008,,,,,,26.65,-0.102,1981,7,2,183,1,15.400141897022278,3.0,15.400141897022278,3.0,15.400141897022278,3.0,1981-07-02 15:00:00,1,miami
26.8,-80.3,115.95655816767268,25, ,,,29.13840675354004,,,,,,26.65,-0.102,1981,7,2,183,1,15.400141897022278,4.0,15.400141897022278,4.0,15.400141897022278,4.0,1981-07-02 18:00:00,1,miami
27.4,-80.4,183.34323726434295, , ,,,28.574907302856445,,,,,,26.65,-0.102,1981,7,2,183,1,15.400141897022278,5.0,15.400141897022278,5.0,15.400141897022278,5.0,1981-07-02 21:00:00,1,miami
28.0,-80.5,250.7572336656916,25, ,,,,,,,,,26.65,-0.102,1981,7,3,184,1,15.400141897022278,5.0,15.400141897022278,5.0,15.400141897022278,5.0,1981-07-03 00:00:00,1,miami
28.6,-80.7,319.5813996051289, , ,27.944665908813477,0.0698680877685546,27.46038055419922,,,,,,26.65,-0.102,1981,7,3,184,1,15.400141897022278,5.0,15.400141897022278,5.0,15.400141897022278,5.0,1981-07-03 03:00:00,1,miami
29.2,-80.8,386.9980901922669,30, ,27.56999969482422,-0.2370643615722656,27.82336044311523,,,,,,26.65,-0.102,1981,7,3,184,1,15.400141897022278,5.0,15.400141897022278,5.0,15.400141897022278,5.0,1981-07-03 06:00:00,1,miami
30.1,-81.0,488.8818884162219, , ,27.139331817626953,,27.99333953857422,,,,,,26.65,-0.102,1981,7,3,184,1,15.400141897022278,5.0,15.400141897022278,5.0,15.400141897022278,5.0,1981-07-03 09:00:00,1,miami
