LAT,LON,dist_to_pr_km,WMO_WIND,WMO_PRES,sst_current,sst_anom,sst_climo,merra_slp,merra_t2m,merra_rh2m,merra_u10,merra_v10,nino34,amo,year,month,day,dayofyear,is_hurricane_season,min_dist_7d,count_within_radius_7d,min_dist_30d,count_within_radius_30d,min_dist_365d,count_within_radius_365d,date,impact_next30,region
14.9,-41.0,2750.000319100978,25,1006,27.111000061035156,-0.3611354827880859,27.54741096496582,,,,,,26.27,-0.02,1996,9,3,247,1,2750.000319100978,0.0,2750.000319100978,0.0,2750.000319100978,0.0,1996-09-03 12:00:00,0,puerto_rico
14.9,-41.9,2655.184315924901, , ,27.130998611450195,-0.3859233856201172,27.594379425048828,,,,,,26.27,-0.02,1996,9,3,247,1,2655.184315924901,0.0,2655.184315924901,0.0,2655.184315924901,0.0,1996-09-03 15:00:00,0,puerto_rico
14.9,-42.7,2570.94765922769,30,1006,27.341665267944336,-0.2241935729980468,27.666086196899418,,,,,,26.27,-0.02,1996,9,3,247,1,2570.94765922769,0.0,2570.94765922769,0.0,2570.94765922769,0.0,1996-09-03 18:00:00,0,puerto_rico
14.9,-43.4,2497.2794417558616, , ,27.47033309936523,-0.1394329071044922,27.666086196899418,,,,,,26.27,-0.02,1996,9,3,247,1,2497.2794417558616,0.0,2497.2794417558616,0.0,2497.2794417558616,0.0,1996-09-03 21:00:00,0,puerto_rico
14.8,-44.1,2425.9662071151533,30,1006,27.409000396728516,-0.2452297210693359,27.70469093322754,,,,,,26.27,-0.02,1996,9,4,248,1,2425.9662071151533,0.0,2425.9662071151533,0.0,2425.9662071151533,0.0,1996-09-04 00:00:00,0,puerto_rico
14.7,-44.8,2354.815234622743, , ,27.497333526611328,-0.2700634002685547,27.79728889465332,,,,,,26.27,-0.02,1996,9,4,248,1,2354.815234622743,0.0,2354.815234622743,0.0,2354.815234622743,0.0,1996-09-04 03:00:00,0,puerto_rico
14.7,-45.4,2291.8513416036185,30,1006,27.50666618347168,-0.3025016784667969,27.79728889465332,,,,,,26.27,-0.02,1996,9,4,248,1,2291.8513416036185,0.0,2291.8513416036185,0.0,2291.8513416036185,0.0,1996-09-04 06:00:00,0,puerto_rico
14.6,-46.0,2231.4512705457287, , ,27.4963321685791,-0.3693962097167969,27.875476837158203,,,,,,26.27,-0.02,1996,9,4,248,1,2231.4512705457287,0.0,2231.4512705457287,0.0,2231.4512705457287,0.0,1996-09-04 09:00:00,0,puerto_rico
14.6,-46.6,2168.6267808347184,30,1006,27.534332275390625,-0.3589591979980469,27.931453704833984,,,,,,26.27,-0.02,1996,9,4,248,1,2168.6267808347184,0.0,2168.6267808347184,0.0,2168.6267808347184,0.0,1996-09-04 12:00:00,0,puerto_rico
14.6,-47.1,2116.318772323976, , ,27.637666702270508,-0.2852764129638672,27.931453704833984,,,,,,26.27,-0.02,1996,9,4,248,1,2116.318772323976,0.0,2116.318772323976,0.0,2116.318772323976,0.0,1996-09-04 15:00:00,0,puerto_rico
14.7,-47.5,2071.8790632996324,30,1006,27.676666259765625,-0.2821979522705078,28.00598526000977,,,,,,26.27,-0.02,1996,9,4,248,1,2071.8790632996324,0.0,2071.8790632996324,0.0,2071.8790632996324,0.0,1996-09-04 18:00:00,0,puerto_rico
14.8,-47.9,2027.4601186596635, , ,27.53333282470703,-0.4038047790527344,28.00598526000977,,,,,,26.27,-0.02,1996,9,4,248,1,2027.4601186596635,0.0,2027.4601186596635,0.0,2027.4601186596635,0.0,1996-09-04 21:00:00,0,puerto_rico
